Description,Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint
1/16W,"R102,R104,R210,R212,R213,R215,R502,R508,R509,R800,R801,R802,R803,R804,R805,R806,R807",17,0R,,,,Resistor_SMD:R_0402_1005Metric
50V 1%,C125,1,100pF,,,,Capacitor_SMD:C_0402_1005Metric
"Unpolarized capacitor, small symbol",C135,1,4.7nF,DNP,,,Capacitor_SMD:C_0402_1005Metric
50V 5%,C126,1,22nF,,,,Capacitor_SMD:C_0402_1005Metric
25V 5%,C306,1,47nF,,,,Capacitor_SMD:C_0402_1005Metric
25V 10%,"C101,C102,C104,C105,C106,C122,C124,C205,C206,C401,C402,C413,C414,C418,C419,C422,C423,C502,C506,C509,C600,C602,C604,C605,C702,C705,C800,C801,C802,C803,C804,C805,C806,C807,C808,C809",36,100nF,,,,Capacitor_SMD:C_0402_1005Metric
25V 10%,C501,1,100nF,DNP,,,Capacitor_SMD:C_0402_1005Metric
25V 10%,"C201,C202,C203,C204,C207,C208,C300,C507",8,1uF,,,,Capacitor_SMD:C_0603_1608Metric
"25V 10%,Unpolarized capacitor, small symbol","C100,C103,C127,C200,C308",5,4.7uF,,,,Capacitor_SMD:C_0603_1608Metric
25V 10%,"C123,C301,C302,C303,C307,C400,C403,C412,C415,C417,C420,C421,C424,C505,C508,C701,C704",17,10uF,,,,Capacitor_SMD:C_0603_1608Metric
Tantulum 16V 10%,"C503,C504",2,10uF,,,,Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A
25V 20%,C500,1,22uF,DNP,,,Capacitor_SMD:C_0805_2012Metric
25V 20%,"C510,C511,C512,C513",4,22uF,,,,Capacitor_SMD:C_0805_2012Metric
25V 20%,"C128,C129,C130,C131,C132,C133",6,47uF,,,,Capacitor_SMD:C_1206_3216Metric
50V 20%,"C601,C603",2,220uF,,,,Capacitor_SMD:CP_Elec_10x10
16V 10%,"C404,C405",2,330uF,,,,Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D
16V 20%,C406,1,470uF,,,,Capacitor_Tantalum_SMD:CP_EIA-7360-38_Kemet-E
0.1% 1/16W,R305,1,130R,,,,Resistor_SMD:R_0402_1005Metric
1% 1/5W,"R105,R106,R500",3,220R,,,,Resistor_SMD:R_0402_1005Metric
1% 1/5W,"R205,R311,R405,R503,R600,R601,R706,R707",8,470R,,,,Resistor_SMD:R_0402_1005Metric
1% 1/16W,"R101,R202,R203,R204,R218,R300,R301,R309,R411,R412,R701,R808",12,1K,,,,Resistor_SMD:R_0402_1005Metric
1% 1/5W,"R107,R207,R303,R307,R310,R312,R501,R504,R505,R602,R603,R704,R705,R708,R709",15,10K,,,,Resistor_SMD:R_0402_1005Metric
"1% 1/5W,Resistor","R121,R208,R209,R211,R214,R302",6,10K,DNP,,,Resistor_SMD:R_0402_1005Metric
Resistor,R111,1,20K,,,,Resistor_SMD:R_0402_1005Metric
Resistor,R110,1,50K,,,,Resistor_SMD:R_0402_1005Metric
Resistor,R108,1,158K,,,,Resistor_SMD:R_0402_1005Metric
Temperature dependent resistor,TH300,1,103AT-2,,,,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical
Resistor,R109,1,14K3,,,,Resistor_SMD:R_0402_1005Metric
