Part,Manufacturer,Part,Number,Quantity,Price,($),Footprint,(mm²),Description,,,,,,,,,,,,,,,,
R109,Vishay-Dale,CRCW040214K3FKED,1,0.01,3,Resistance:,14.3,kΩ,,Tolerance:,1.0%,,Power:,63,mW,,,,,,,,,,
R110,Yageo,RC0201FR-0710KL,1,0.01,2.08,Resistance:,10,kΩ,,Tolerance:,1.0%,,Power:,50,mW,,,,,,,,,,
C127,MuRata,GRM188R71A225KE15D,1,0.02,4.68,Cap:,2.2,µF,,Total,Derated,Cap:,2.2,µF,,VDC:,10,V,,ESR:,9,mΩ,,Package:,603
C123,Kemet,C0805C106K8PACTU,1,0.03,6.75,Cap:,10,µF,,Total,Derated,Cap:,7.3,µF,,VDC:,10,V,,ESR:,3,mΩ,,Package:,805
R111,Vishay-Dale,CRCW040220K0FKED,1,0.01,3,Resistance:,40,kΩ,,Tolerance:,1.0%,,Power:,63,mW,,,,,,,,,,
Q103,Texas,Instruments,CSD17571Q2,1,0.08,9,VdsMax:,30,V,,IdsMax:,22,Amps,,,,,,,,,,,,
R158,Vishay-Dale,CRCW0402158KFKED,1,0.01,3,Resistance:,158,kΩ,,Tolerance:,1.0%,,Power:,63,mW,,,,,,,,,,
U1,Texas,Instruments,TPS61287RZPR,1,0.75,14,,,,,,,,,,,,,,,,,,,
C126,MuRata,GRM033R60J473KE19D,1,0.01,2.08,Cap:,47,nF,,Total,Derated,Cap:,47,nF,,VDC:,6.3,V,,ESR:,1,mΩ,,Package:,201
"C120, C121",TDK,CGA9N3X7R1C476M230KB,2,0.67,53.9,Cap:,47,µF,,Total,Derated,Cap:,54,µF,,VDC:,16,V,,ESR:,3.16,mΩ,,Package:,2220_250
L103,Coilcraft,MLC1565-472MLB,1,1.05,243.2,L:,4.7,µH,,DCR:,4,mΩ,,IDC:,10.57,A,,,,,,,,,
C122,MuRata,GRM155R71A104KA01D,1,0.01,3,Cap:,100,nF,,Total,Derated,Cap:,100,nF,,VDC:,10,V,,ESR:,1,mΩ,,Package:,402
C124,MuRata,GRM155R71A104KA01D,1,0.01,3,Cap:,100,nF,,Total,Derated,Cap:,100,nF,,VDC:,10,V,,ESR:,1,mΩ,,Package:,402
C119,AVX,06033C104KAT2A,1,0.01,4.68,Cap:,100,nF,,Total,Derated,Cap:,100,nF,,VDC:,25,V,,ESR:,50,mΩ,,Package:,603
C125,Yageo,CC0805JRNPO9BN560,1,0.01,6.75,Cap:,56,pF,,Total,Derated,Cap:,56,pF,,VDC:,50,V,,ESR:,0,Ω,,Package:,805
