Value,Description,Reference,Footprint,DNP,Exclude from BOM
BS-07-A1BJ001_CR2032,Battery Holder CR2032 Manganese Steel Nickel Plugin Button And Strip Battery Connector,BT500,Battery:BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032,,
4.7uF,25V 10%,"C100,C103,C127,C200,C308",Capacitor_SMD:C_0603_1608Metric,,
100nF,25V 10%,"C101,C102,C104,C105,C106,C122,C124,C205,C206,C401,C402,C413,C414,C418,C419,C422,C423,C502,C506,C509,C600,C602,C604,C605,C702,C705,C800,C801,C802,C803,C804,C805,C806,C807,C808,C809",Capacitor_SMD:C_0402_1005Metric,,
10uF,25V 10%,"C123,C301,C302,C303,C307,C400,C403,C412,C415,C417,C420,C421,C424,C505,C508,C701,C704",Capacitor_SMD:C_0603_1608Metric,,
100pF,50V 1%,C125,Capacitor_SMD:C_0402_1005Metric,,
22nF,50V 5%,C126,Capacitor_SMD:C_0402_1005Metric,,
47uF,25V 20%,"C128,C129,C130,C131,C132,C133",Capacitor_SMD:C_1206_3216Metric,,
22nF,50V 5%,C135,Capacitor_SMD:C_0402_1005Metric,DNP,
1uF,25V 10%,"C201,C202,C203,C204,C207,C208,C300,C507",Capacitor_SMD:C_0603_1608Metric,,
47nF,25V 5%,C306,Capacitor_SMD:C_0402_1005Metric,,
330uF,16V 10%,"C404,C405",Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D,,
470uF,16V 20%,C406,Capacitor_Tantalum_SMD:CP_EIA-7360-38_Kemet-E,,
4.7nF,25V 10%,"C407,C408,C409,C410,C411",Capacitor_SMD:C_0402_1005Metric,,
4.7nF,25V 10%,"C416,C425,C426,C427,C428",Capacitor_SMD:C_0402_1005Metric,DNP,Excluded from BOM
22uF,25V 20%,C500,Capacitor_SMD:C_0805_2012Metric,DNP,
100nF,25V 10%,C501,Capacitor_SMD:C_0402_1005Metric,DNP,
10uF,Tantulum 16V 10%,"C503,C504",Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A,,
22uF,25V 20%,"C510,C511,C512,C513",Capacitor_SMD:C_0805_2012Metric,,
220uF,50V 20%,"C601,C603",Capacitor_SMD:CP_Elec_10x10,,
NCD0402G1,GREEN,"D100,D101,D300,D302",LED_SMD:LED_0402_1005Metric,,
NCD0402R1,RED,"D200,D201,D301,D400,D403,D404,D405,D700,D701",LED_SMD:LED_0402_1005Metric,,
SBR3U40S1F,Schottky Diodes & Rectifiers Schottky Rectifier,"D500,D600,D601",Custom_Global_Footprints:SBR3U40S1F-7,,
Polyfuse_Small,"Resettable fuse, polymeric positive temperature coefficient, small symbol","F400,F401",Fuse:Fuse_1210_3225Metric,,
Fiducial,Fiducial Marker,"FID400,FID401,FID402",Fiducial:Fiducial_1mm_Mask2mm,,Excluded from BOM
TYPE-C-31-M-12,TYPE-C-31-M-12,J100,Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,,
JST_B2B,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","J300,J600,J601,J801,J802,J803,J805,J806,J807,J808",Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,,
JST_B4B,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","J700,J701",Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,,
Conn_02x03_Odd_Even,"Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",J800,Connector_PinHeader_1.27mm:PinHeader_2x03_P1.27mm_Vertical_SMD,,
Conn_02x05_Odd_Even,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",J804,Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD,,
4.7uH (SPM12565VT-4R7M-D),Inductor,L103,Custom_Global_Footprints:SPM12565VT-4R7M,,
SRN6045HA-1R0Y,Inductor,L300,Custom_Global_Footprints:SRN6045HA-1R0Y,,
UMH3N,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8586175479908458496,Q100,Package_TO_SOT_SMD:SOT-363_SC-70-6,,
CSD17313Q2,"N-Channel 1.8V 2.3W 2.7nC@4.5V 30V 30mΩ@8V,4A 340pF@15V 5A WSON-6(2x2)",Q113,Package_SON:Texas_DQK,,
SI7615DN-T1-GE3,"-12A Id, -30V Vds, P-Channel Power MOSFET, 9.5mOhm Ron, 33.7nC Qg (typ), PowerDI3333-8","Q200,Q201,Q204",Package_SON:Diodes_PowerDI3333-8,,
DMP6050SSD-13,"-11.3A Id, -60V Vds, P-Channel Power MOSFET, 55mOhm Ron, 11.9nC Qg (typ), SO-8",Q202,Custom_Global_Footprints:DMP6050SSD_SO-8_3.9x4.9mm_P1.27mm,,
IRLML2402TRPBF,"N-Channel 1.2A 110pF 2.6nC@4.5V 20V 250mΩ@4.5V,0.93A 25pF@16V 540mW 700mV SOT-23 MOSFETs","Q203,Q205,Q301,Q500,Q702,Q703",Package_TO_SOT_SMD:SOT-23,,
