Ref,Val,Package,PosX,PosY,Rot,Side
"BT500","BS-07-A1BJ001_CR2032","BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032",43.325000,52.600000,-90.000000,bottom
"C416","4.7nF","C_0402_1005Metric",112.000000,33.500000,-90.000000,bottom
"C425","4.7nF","C_0402_1005Metric",92.400000,4.000000,180.000000,bottom
"C426","4.7nF","C_0402_1005Metric",27.600000,4.000000,180.000000,bottom
"C427","4.7nF","C_0402_1005Metric",4.000000,51.500000,-90.000000,bottom
"C428","4.7nF","C_0402_1005Metric",54.500000,66.400000,-90.000000,bottom
"R406","511K","R_0402_1005Metric",58.000000,3.390000,-90.000000,bottom
"R414","22R","R_0402_1005Metric",112.500000,35.000000,0.000000,bottom
"R415","22R","R_0402_1005Metric",94.000000,3.500000,-90.000000,bottom
"R416","22R","R_0402_1005Metric",29.100000,3.500000,-90.000000,bottom
"R417","22R","R_0402_1005Metric",3.500000,53.000000,180.000000,bottom
"R418","22R","R_0402_1005Metric",54.475000,68.400000,90.000000,bottom
"R419","511K","R_0402_1005Metric",103.000000,68.590000,90.000000,bottom
"R420","511K","R_0402_1005Metric",27.000000,60.590000,90.000000,bottom
