Ref,Val,Package,PosX,PosY,Rot,Side
"C100","4.7uF","C_0603_1608Metric",16.275000,30.875000,0.000000,top
"C101","100nF","C_0402_1005Metric",15.725000,32.100000,0.000000,top
"C102","100nF","C_0402_1005Metric",13.200000,29.200000,-90.000000,top
"C103","4.7uF","C_0603_1608Metric",14.425000,28.625000,-90.000000,top
"C104","100nF","C_0402_1005Metric",10.000000,14.500000,180.000000,top
"C105","100nF","C_0402_1005Metric",6.500000,6.470000,0.000000,top
"C106","100nF","C_0402_1005Metric",6.500000,5.500000,0.000000,top
"C122","100nF","C_0402_1005Metric",71.650000,13.350000,-90.000000,top
"C123","10uF","C_0603_1608Metric",57.725000,7.950000,-90.000000,top
"C124","100nF","C_0402_1005Metric",70.975000,7.875000,-90.000000,top
"C125","100pF","C_0402_1005Metric",77.700000,11.100000,0.000000,top
"C126","22nF","C_0402_1005Metric",79.165000,11.600000,-90.000000,top
"C127","4.7uF","C_0603_1608Metric",73.350000,7.400000,0.000000,top
"C128","47uF","C_1206_3216Metric",31.575000,11.000000,0.000000,top
"C129","47uF","C_1206_3216Metric",31.575000,8.650000,0.000000,top
"C130","47uF","C_1206_3216Metric",92.075000,29.450000,90.000000,top
"C131","47uF","C_1206_3216Metric",91.950000,45.075000,90.000000,top
"C132","47uF","C_1206_3216Metric",57.750000,60.350000,180.000000,top
"C133","47uF","C_1206_3216Metric",73.825000,60.150000,180.000000,top
"C135","22nF","C_0402_1005Metric",71.100000,20.800000,-90.000000,top
"C200","4.7uF","C_0603_1608Metric",10.672500,4.512500,-90.000000,top
"C201","1uF","C_0603_1608Metric",12.182500,4.512500,-90.000000,top
"C202","1uF","C_0603_1608Metric",16.357500,4.607500,180.000000,top
"C203","1uF","C_0603_1608Metric",15.930000,22.870000,90.000000,top
"C204","1uF","C_0603_1608Metric",20.135000,23.520000,90.000000,top
"C205","100nF","C_0402_1005Metric",18.895000,22.960000,90.000000,top
"C206","100nF","C_0402_1005Metric",17.925000,22.960000,90.000000,top
"C207","1uF","C_0603_1608Metric",43.900000,15.075000,-90.000000,top
"C208","1uF","C_0603_1608Metric",50.475000,12.525000,90.000000,top
"C300","1uF","C_0603_1608Metric",33.350000,22.425000,0.000000,top
"C301","10uF","C_0603_1608Metric",35.050000,20.925000,0.000000,top
"C302","10uF","C_0603_1608Metric",31.300000,14.425000,0.000000,top
"C303","10uF","C_0603_1608Metric",31.300000,12.925000,0.000000,top
"C306","47nF","C_0402_1005Metric",35.125000,17.475000,0.000000,top
"C307","10uF","C_0603_1608Metric",28.150000,14.400000,180.000000,top
"C308","4.7uF","C_0603_1608Metric",35.625000,19.450000,0.000000,top
"C400","10uF","C_0603_1608Metric",68.450000,27.825000,90.000000,top
"C401","100nF","C_0402_1005Metric",69.850000,27.825000,90.000000,top
"C402","100nF","C_0402_1005Metric",88.825000,29.450000,90.000000,top
"C403","10uF","C_0603_1608Metric",90.100000,29.450000,90.000000,top
"C404","330uF","CP_EIA-7343-31_Kemet-D",53.850000,9.100000,-90.000000,top
"C405","330uF","CP_EIA-7343-31_Kemet-D",87.855000,14.675000,90.000000,top
"C406","470uF","CP_EIA-7360-38_Kemet-E",93.950000,14.675000,90.000000,top
"C407","4.7nF","C_0402_1005Metric",112.100000,27.300000,-90.000000,top
"C408","4.7nF","C_0402_1005Metric",62.300000,3.900000,180.000000,top
"C409","4.7nF","C_0402_1005Metric",4.100000,29.200000,90.000000,top
"C410","4.7nF","C_0402_1005Metric",3.200000,46.300000,-90.000000,top
"C411","4.7nF","C_0402_1005Metric",68.700000,66.600000,-90.000000,top
"C412","10uF","C_0603_1608Metric",68.325000,43.450000,90.000000,top
"C413","100nF","C_0402_1005Metric",69.725000,43.450000,90.000000,top
"C414","100nF","C_0402_1005Metric",88.700000,45.080000,90.000000,top
"C415","10uF","C_0603_1608Metric",89.975000,45.075000,90.000000,top
"C417","10uF","C_0603_1608Metric",46.050000,26.900000,90.000000,top
"C418","100nF","C_0402_1005Metric",47.350000,26.600000,90.000000,top
"C419","100nF","C_0402_1005Metric",52.525000,27.525000,-90.000000,top
"C420","10uF","C_0603_1608Metric",53.800000,27.400000,-90.000000,top
"C421","10uF","C_0603_1608Metric",46.012500,21.425000,90.000000,top
"C422","100nF","C_0402_1005Metric",47.312500,21.125000,90.000000,top
"C423","100nF","C_0402_1005Metric",52.575000,22.050000,-90.000000,top
"C424","10uF","C_0603_1608Metric",53.775000,21.925000,-90.000000,top
"C500","22uF","C_0805_2012Metric",17.025000,53.163437,180.000000,top
"C501","100nF","C_0402_1005Metric",16.810000,54.740000,180.000000,top
"C502","100nF","C_0402_1005Metric",19.420000,61.700000,180.000000,top
"C503","10uF","CP_EIA-3216-18_Kemet-A",18.975000,57.898437,180.000000,top
"C504","10uF","CP_EIA-3216-18_Kemet-A",18.975000,60.088437,180.000000,top
"C505","10uF","C_0603_1608Metric",46.450000,41.875000,-90.000000,top
"C506","100nF","C_0402_1005Metric",47.725000,42.450000,-90.000000,top
"C507","1uF","C_0603_1608Metric",18.650000,56.038437,180.000000,top
"C508","10uF","C_0603_1608Metric",59.510000,41.900000,0.000000,top
"C509","100nF","C_0402_1005Metric",59.200000,43.200000,0.000000,top
"C510","22uF","C_0805_2012Metric",77.125000,15.375000,90.000000,top
"C511","22uF","C_0805_2012Metric",81.175000,15.375000,90.000000,top
"C512","22uF","C_0805_2012Metric",83.200000,15.375000,90.000000,top
"C513","22uF","C_0805_2012Metric",79.150000,15.375000,90.000000,top
"C600","100nF","C_0402_1005Metric",104.925000,15.942500,-90.000000,top
"C601","220uF","CP_Elec_10x10",103.100000,23.000000,180.000000,top
"C602","100nF","C_0402_1005Metric",104.912500,41.267500,-90.000000,top
"C603","220uF","CP_Elec_10x10",102.695000,48.325000,180.000000,top
"C604","100nF","C_0402_1005Metric",108.475000,14.975000,-90.000000,top
"C605","100nF","C_0402_1005Metric",108.462500,40.300000,-90.000000,top
"C701","10uF","C_0603_1608Metric",58.575000,62.350000,180.000000,top
"C702","100nF","C_0402_1005Metric",58.900000,63.650000,180.000000,top
"C704","10uF","C_0603_1608Metric",74.650000,62.150000,180.000000,top
"C705","100nF","C_0402_1005Metric",74.980000,63.450000,180.000000,top
"C800","100nF","C_0402_1005Metric",12.745000,48.515000,90.000000,top
"C801","100nF","C_0402_1005Metric",21.200000,40.600000,90.000000,top
"C802","100nF","C_0402_1005Metric",43.000000,40.620000,90.000000,top
"C803","100nF","C_0402_1005Metric",57.725000,53.970000,-90.000000,top
"C804","100nF","C_0402_1005Metric",7.100000,53.100000,180.000000,top
"C805","100nF","C_0402_1005Metric",3.775000,57.120000,-90.000000,top
"C806","100nF","C_0402_1005Metric",59.800000,31.200000,180.000000,top
"C807","100nF","C_0402_1005Metric",88.700000,57.920000,-90.000000,top
"C808","100nF","C_0402_1005Metric",100.500000,64.900000,-90.000000,top
"C809","100nF","C_0402_1005Metric",89.325000,63.350000,-90.000000,top
"D100","NCD0402G1","LED_0402_1005Metric",12.105000,37.580000,90.000000,top
"D101","NCD0402G1","LED_0402_1005Metric",13.080000,37.580000,90.000000,top
"D200","NCD0402R1","LED_0402_1005Metric",22.030000,14.855000,90.000000,top
"D201","NCD0402R1","LED_0402_1005Metric",49.025000,12.812500,-90.000000,top
"D300","NCD0402G1","LED_0402_1005Metric",29.320000,26.040000,90.000000,top
"D301","NCD0402R1","LED_0402_1005Metric",30.300000,26.040000,90.000000,top
"D302","NCD0402G1","LED_0402_1005Metric",37.062291,25.140000,90.000000,top
"D400","NCD0402R1","LED_0402_1005Metric",94.000000,25.550000,90.000000,top
"D403","NCD0402R1","LED_0402_1005Metric",93.875000,41.175000,90.000000,top
"D404","NCD0402R1","LED_0402_1005Metric",56.050000,26.500000,90.000000,top
"D405","NCD0402R1","LED_0402_1005Metric",56.025000,21.050000,90.000000,top
"D500","SBR3U40S1F","SBR3U40S1F-7",50.425000,56.775000,0.000000,top
"D600","SBR3U40S1F","SBR3U40S1F-7",106.700000,14.992500,-90.000000,top
"D601","SBR3U40S1F","SBR3U40S1F-7",106.687500,40.317500,-90.000000,top
"D700","NCD0402R1","LED_0402_1005Metric",72.040000,62.175000,180.000000,top
"D701","NCD0402R1","LED_0402_1005Metric",55.965000,62.375000,180.000000,top
"F400","Polyfuse_Small","Fuse_1210_3225Metric",20.150000,3.650000,0.000000,top
"F401","Polyfuse_Small","Fuse_1210_3225Metric",12.600000,25.100000,0.000000,top
"FID400","Fiducial","Fiducial_1mm_Mask2mm",10.900000,54.000000,0.000000,top
"FID401","Fiducial","Fiducial_1mm_Mask2mm",111.900000,61.900000,0.000000,top
"FID402","Fiducial","Fiducial_1mm_Mask2mm",91.900000,5.900000,0.000000,top
"J100","TYPE-C-31-M-12","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",2.960000,12.405000,-90.000000,top
"J300","JST_B2B","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",26.000000,7.450000,180.000000,top
"J600","JST_B2B","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",111.175000,13.650000,90.000000,top
"J601","JST_B2B","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",111.162500,38.975000,90.000000,top
"J700","JST_B4B","JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical",80.400000,66.700000,180.000000,top
"J701","JST_B4B","JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical",64.325000,66.900000,180.000000,top
"J800","Conn_02x03_Odd_Even","PinHeader_2x03_P1.27mm_Vertical_SMD",17.600000,49.300000,180.000000,top
"J801","JST_B2B","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",64.800000,54.445000,180.000000,top
"J802","JST_B2B","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",7.615000,46.005000,90.000000,top
"J803","JST_B2B","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",10.850000,57.600000,180.000000,top
"J804","Conn_02x05_Odd_Even","PinHeader_2x05_P1.27mm_Vertical_SMD",58.300000,35.500000,180.000000,top
"J805","JST_B2B","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",95.775000,58.400000,180.000000,top
"J806","JST_B2B","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",107.650000,65.325000,180.000000,top
"J807","JST_B2B","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",95.750000,65.225000,180.000000,top
"J808","JST_B2B","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",107.575000,58.425000,180.000000,top
"L103","4.7uH (SPM12565VT-4R7M-D)","SPM12565VT-4R7M",63.525000,16.125000,180.000000,top
"L300","SRN6045HA-1R0Y","SRN6045HA-1R0Y",37.650000,11.750000,-90.000000,top
"Q100","UMH3N","SOT-363_SC-70-6",8.305000,40.090000,180.000000,top
"Q113","CSD17313Q2","Texas_DQK",73.650000,15.050000,90.000000,top
"Q200","SI7615DN-T1-GE3","Diodes_PowerDI3333-8",12.632500,7.957500,180.000000,top
"Q201","SI7615DN-T1-GE3","Diodes_PowerDI3333-8",17.060000,7.307500,0.000000,top
