Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
BT500,1,BS-07-A1BJ001_CR2032,,,,Battery:BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032,~
"C100,C103,C200,C308",4,4.7uF,,,,Capacitor_SMD:C_0603_1608Metric,
"C101,C102,C104,C105,C106,C205,C206,C401,C402,C408,C413,C414,C418,C419,C422,C423,C506,C509,C600,C602,C604,C605,C702,C705,C800,C801,C802,C803,C804,C805,C806,C807,C808,C809",34,100nF,,,,Capacitor_SMD:C_0402_1005Metric,~
"C201,C202,C203,C204,C300,C405,C406,C407,C409,C507",10,1uF,,,,Capacitor_SMD:C_0603_1608Metric,~
C301,1,8.2uF,,,,Capacitor_SMD:C_0603_1608Metric,~
"C302,C303,C307,C400,C403,C410,C412,C415,C417,C420,C421,C424,C505,C508,C701,C704",16,10uF,,,,Capacitor_SMD:C_0603_1608Metric,
"C304,C305,C404,C411,C416",5,47uF,,,,Capacitor_SMD:CP_Elec_6.3x5.8,~
C306,1,47nF,,,,Capacitor_SMD:C_0402_1005Metric,
C500,1,22uF,DNP,,,Capacitor_SMD:CP_Elec_10x10,~
C501,1,100nF,DNP,,,Capacitor_SMD:C_0402_1005Metric,
C502,1,100nF,,,,Capacitor_SMD:CP_Elec_10x10,
"C503,C504",2,10uF,,,,Capacitor_SMD:C_1206_3216Metric,~
"C601,C603",2,220uF,,,,Capacitor_SMD:CP_Elec_10x10,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://docs.rs-online.com/69a4/0900766b80fa3a40.pdf
"C700,C703",2,47uF,,,,Capacitor_SMD:C_0603_1608Metric,~
"D100,D101,D300,D302,D402",5,SML-P13PTT86R,,,,Custom_Global_Footprints:SML-P13PTT_LED_0402_1005Metric,https://fscdn.rohm.com/en/products/databook/datasheet/opto/led/chip_mono/sml-p13ptt86(r)-e.pdf
"D200,D301,D400,D403,D404,D405,D700,D701",8,SML-P12U2TT86R,,,,Custom_Global_Footprints:SML-P13PTT_LED_0402_1005Metric,"https://fscdn.rohm.com/en/products/databook/datasheet/opto/led/chip_mono/sml-p12utt86(r)-e.pdf,https://fscdn.rohm.com/en/products/databook/datasheet/opto/led/chip_mono/sml-p13ptt86(r)-e.pdf"
